346,Aitch,122
347,Shiva,120
348,周柏豪,120
349,Popcaan,119
350,Fede,119
351,Benji,119
352,Vishal-Shekhar,119
353,謝安琪,119
354,Nekfeu,118
355,Jay Chou,118
356,Kane Brown,117
357,Arctic Monkeys,117
358,菅田 将暉,117
359,肖戰,117
360,El Guincho,116
361,"Cast Of The Motion Picture ""Cats""",116
362,Blake Shelton,116
363,Lexa,116
364,Pentatonix,116
365,Zeynep Bastık,116
366,Ginette Reno,116
367,Manuel Carrasco,115
368,Marc Anthony,115
369,MORGENSHTERN,114
370,Jerome,114
371,Muse,113
372,Capo Plaza,113
373,VIZE,113
374,Niels Destadsbader,113
375,Journey,112
376,Chencho Corleone,112
377,Mahmood,110
378,Diego,110
379,Nick Cave & The Bad Seeds,110
380,Bizarrap,110
381,NF,109
382,Ben Fero,109
383,Sebastián Yatra,109
384,Shankar-Ehsaan-Loy,109
385,Dhvani Bhanushali,109
386,FSK SATELLITE,109
387,Koba LaD,108
388,Mrs. GREEN APPLE,108
389,John Mayer,108
390,Nea,108
391,Müslüm Gürses,108
392,Alejandro Sanz,107
393,Rvfv,107
394,Vasco Rossi,107
395,Tymek,107
396,BoomDaBash,107
397,GAYAZOV$ BROTHER$,107
398,Maan,107
399,Ceza,106
400,Bonez MC,105
401,Pop Smoke,105
402,Chitãozinho,104
403,Xororó,104
404,Nico Santos,104
405,Gigi D'Agostino,103
406,Joel Rincón,103
407,Ana Mena,103
408,Depeche Mode,102
409,L.A.B.,102
410,Matthaios,102
411,Gerry Cinnamon,102
412,Shakira,102
413,Vários intérpretes,102
414,Volbeat,102
415,Andreas Gabalier,101
416,Morgan Wallen,101
417,GOT7,101
418,Los Palmeras,101
419,Pitbull,101
420,Tory Lanez,100
421,Marko Silva,99.9
422,陳奕迅,99.8
423,Irmak Arıcı,99.7
424,Jason Mraz,99.4
425,Julie Bergan,99.4
426,Jax Jones,99.3
427,Miley Cyrus,99.2
428,Lorde,98.8
429,Frenna,98.6
430,Supertramp,98.4
431,Tom Walker,98
432,Felipe Araújo,98
433,MAMAMOO,98
434,TOOL,97.7
435,NILETTO,97.3
436,Calum Scott,96.9
437,J. Balvin,96.9
438,Creedence Clearwater Revival,96.8
439,Sebastian Yatra,96.7
440,"Tyler, The Creator",96.5
441,benny blanco,96.4
442,Frank Sinatra,96.1
443,Scriptonite,96.1
444,Ella Henderson,96
445,Manuel Turizo,95.9
446,Dree Low,95.9
447,Andmesh,95.5
448,Sha Sha,95.4
449,Davina Michelle,94.7
450,Sade,94.5
451,RANI,94.3
452,Eagles,94.1
453,RubberBand,94
454,Murda,93.9
455,Kabza De Small x DJ Maphorisa,93.8
456,Led Zeppelin,93.7
457,Tessa,93.4
458,James Blunt,93.4
